source,case,method,alpha,batch,batch_label,lr,seed,score,val_bpb_final,steps_completed,tokens,path
v43_4m_best_metrics,streaming_identity_bsz4194304_lr0p04_s42,streaming_identity,1.0,4194304,4M,0.04,42,1.2068696224585742,1.2068696224585742,96,402653184,search_evals/v43_4m_best_metrics/streaming_identity_bsz4194304_lr0p04_s42/result.json
v51_4m_seed_confirm,streaming_identity_bsz4194304_lr0p04_s43,streaming_identity,1.0,4194304,4M,0.04,43,1.228648611471892,1.228648611471892,96,402653184,search_evals/v51_4m_seed_confirm/streaming_identity_bsz4194304_lr0p04_s43/result.json
v51_4m_seed_confirm,streaming_identity_bsz4194304_lr0p04_s44,streaming_identity,1.0,4194304,4M,0.04,44,1.2095363709020541,1.2095363709020541,96,402653184,search_evals/v51_4m_seed_confirm/streaming_identity_bsz4194304_lr0p04_s44/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz4194304_lr0p08_s42,streaming_identity,1.0,4194304,4M,0.08,42,1.242935462493975,1.242935462493975,96,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz4194304_lr0p08_s42/result.json
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz4194304_lr0p005_s42,top_aware_muon,0.5,4194304,4M,0.005,42,1.6108592254261695,1.6108592254261695,96,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz4194304_lr0p005_s42/result.json
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz4194304_lr0p01_s42,top_aware_muon,0.5,4194304,4M,0.01,42,1.4617122966132718,1.4617122966132718,96,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz4194304_lr0p01_s42/result.json
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz4194304_lr0p02_s42,top_aware_muon,0.5,4194304,4M,0.02,42,1.174487687423776,1.174487687423776,96,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz4194304_lr0p02_s42/result.json
v43_4m_best_metrics,top_aware_k1_a0p5_bsz4194304_lr0p02_s42,top_aware_muon,0.5,4194304,4M,0.02,42,1.1766477051200148,1.1766477051200148,96,402653184,search_evals/v43_4m_best_metrics/top_aware_k1_a0p5_bsz4194304_lr0p02_s42/result.json
v51_4m_seed_confirm,top_aware_k1_a0p5_bsz4194304_lr0p02_s43,top_aware_muon,0.5,4194304,4M,0.02,43,1.2103514582492747,1.2103514582492747,96,402653184,search_evals/v51_4m_seed_confirm/top_aware_k1_a0p5_bsz4194304_lr0p02_s43/result.json
v51_4m_seed_confirm,top_aware_k1_a0p5_bsz4194304_lr0p02_s44,top_aware_muon,0.5,4194304,4M,0.02,44,1.191445706474066,1.191445706474066,96,402653184,search_evals/v51_4m_seed_confirm/top_aware_k1_a0p5_bsz4194304_lr0p02_s44/result.json
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz4194304_lr0p04_s42,top_aware_muon,0.5,4194304,4M,0.04,42,1.1758053032901363,1.1758053032901363,96,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz4194304_lr0p04_s42/result.json
v43_4m_best_metrics,top_aware_k1_a0p5_bsz4194304_lr0p04_s42,top_aware_muon,0.5,4194304,4M,0.04,42,1.1773144827961457,1.1773144827961457,96,402653184,search_evals/v43_4m_best_metrics/top_aware_k1_a0p5_bsz4194304_lr0p04_s42/result.json
v51_4m_seed_confirm,top_aware_k1_a0p5_bsz4194304_lr0p04_s43,top_aware_muon,0.5,4194304,4M,0.04,43,1.2033467062655736,1.2033467062655736,96,402653184,search_evals/v51_4m_seed_confirm/top_aware_k1_a0p5_bsz4194304_lr0p04_s43/result.json
v51_4m_seed_confirm,top_aware_k1_a0p5_bsz4194304_lr0p04_s44,top_aware_muon,0.5,4194304,4M,0.04,44,1.192612114580991,1.192612114580991,96,402653184,search_evals/v51_4m_seed_confirm/top_aware_k1_a0p5_bsz4194304_lr0p04_s44/result.json
v44_d8_c05_transition_2m8m,streaming_identity_bsz8388608_lr0p01_s42,streaming_identity,1.0,8388608,8M,0.01,42,1.4750621956731989,1.4750621956731989,48,402653184,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz8388608_lr0p01_s42/result.json
v44_d8_c05_transition_2m8m,streaming_identity_bsz8388608_lr0p02_s42,streaming_identity,1.0,8388608,8M,0.02,42,1.4564454557582625,1.4564454557582625,48,402653184,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz8388608_lr0p02_s42/result.json
v48_8m_best_metrics,streaming_identity_bsz8388608_lr0p02_s42,streaming_identity,1.0,8388608,8M,0.02,42,1.4504627870818718,1.4504627870818718,48,402653184,search_evals/v48_8m_best_metrics/streaming_identity_bsz8388608_lr0p02_s42/result.json
v44_d8_c05_transition_2m8m,streaming_identity_bsz8388608_lr0p04_s42,streaming_identity,1.0,8388608,8M,0.04,42,1.4891495133126822,1.4891495133126822,48,402653184,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz8388608_lr0p04_s42/result.json
v44_d8_c05_transition_2m8m,streaming_identity_bsz8388608_lr0p08_s42,streaming_identity,1.0,8388608,8M,0.08,42,1.5809823979573714,1.5809823979573714,48,402653184,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz8388608_lr0p08_s42/result.json
v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz8388608_lr0p01_s42,top_aware_muon,0.5,8388608,8M,0.01,42,1.434975113153759,1.434975113153759,48,402653184,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz8388608_lr0p01_s42/result.json
v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz8388608_lr0p02_s42,top_aware_muon,0.5,8388608,8M,0.02,42,1.421837209256318,1.421837209256318,48,402653184,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz8388608_lr0p02_s42/result.json
v48_8m_best_metrics,top_aware_k1_a0p5_bsz8388608_lr0p02_s42,top_aware_muon,0.5,8388608,8M,0.02,42,1.4286259812060578,1.4286259812060578,48,402653184,search_evals/v48_8m_best_metrics/top_aware_k1_a0p5_bsz8388608_lr0p02_s42/result.json
v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz8388608_lr0p04_s42,top_aware_muon,0.5,8388608,8M,0.04,42,1.4476868531599685,1.4476868531599685,48,402653184,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz8388608_lr0p04_s42/result.json
v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz8388608_lr0p08_s42,top_aware_muon,0.5,8388608,8M,0.08,42,1.5367538022875469,1.5367538022875469,48,402653184,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz8388608_lr0p08_s42/result.json
