catalog_source,source,family,batch_label,batch,method,variant,alpha,top_k,lr,seed,score,status,quality,tokens,depth,path,notes
figures/topaware_alpha_dashboard/raw_rows.csv,ddp_top1_official,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.5",0.5,1,0.04,42,0.927862542773,complete,full_or_historical,,8,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p04/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v28_topaware_k1_128k_alpha075_20260430,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.75",0.75,1,0.005,42,0.920044297391,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v28_topaware_k1_128k_alpha075_20260430/top_aware_k1_a0p75_bsz131072_lr0p005_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v28_topaware_k1_128k_alpha075_20260430,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.75",0.75,1,0.01,42,0.917182580054,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v28_topaware_k1_128k_alpha075_20260430/top_aware_k1_a0p75_bsz131072_lr0p01_s42/result.json,
results/topaware_128k_near_identity_lr001/summary.json,topaware_128k_near_identity_lr001,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.75",0.75,1,0.01,42,0.917182580054,complete,full_1b,1073741824,8,search_evals/v28_topaware_k1_128k_alpha075_20260430/top_aware_k1_a0p75_bsz131072_lr0p01_s42/result.json,"Fixed-LR alpha curve around identity at 128K. All completed Top-Aware rows use d8, seq1024, 8192 steps, lr=0.01, seed 42."
figures/topaware_alpha_dashboard/raw_rows.csv,v28_topaware_k1_128k_alpha075_20260430,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.75",0.75,1,0.02,42,0.920091318874,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v28_topaware_k1_128k_alpha075_20260430/top_aware_k1_a0p75_bsz131072_lr0p02_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v28_topaware_k1_128k_alpha075_20260430,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.75",0.75,1,0.04,42,0.928272984535,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v28_topaware_k1_128k_alpha075_20260430/top_aware_k1_a0p75_bsz131072_lr0p04_s42/result.json,
results/topaware_128k_near_identity_lr001/summary.json,topaware_128k_near_identity_lr001,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=0.85",0.85,1,0.01,42,0.916765690045,complete,full_1b,1073741824,8,search_evals/v36_topaware_128k_near_identity_lr001_20260501/top_aware_k1_a0p85_bsz131072_lr0p01_s42/result.json,"Fixed-LR alpha curve around identity at 128K. All completed Top-Aware rows use d8, seq1024, 8192 steps, lr=0.01, seed 42."
results/topaware_128k_near_identity_lr001/summary.json,topaware_128k_near_identity_lr001,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=1.15",1.15,1,0.01,42,0.916568620038,complete,full_1b,1073741824,8,search_evals/v36_topaware_128k_near_identity_lr001_20260501/top_aware_k1_a1p15_bsz131072_lr0p01_s42/result.json,"Fixed-LR alpha curve around identity at 128K. All completed Top-Aware rows use d8, seq1024, 8192 steps, lr=0.01, seed 42."
results/topaware_128k_alpha125_lrsweep/summary.json,topaware_128k_alpha125_lrsweep,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=1.25",1.25,1,0.005,42,0.91960864226,complete,full_1b,1073741824,8,search_evals/v33_topaware_k1_128k_alpha125_20260501/top_aware_k1_a1p25_bsz131072_lr0p005_s42/result.json,"Top-Aware Muon alpha=1.25 LR sweep at 128K, d8, seq1024, about 1.07B tokens, seed 42."
results/topaware_128k_alpha125_lrsweep/summary.json,topaware_128k_alpha125_lrsweep,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=1.25",1.25,1,0.01,42,0.91716374248,complete,full_1b,1073741824,8,search_evals/v33_topaware_k1_128k_alpha125_20260501/top_aware_k1_a1p25_bsz131072_lr0p01_s42/result.json,"Top-Aware Muon alpha=1.25 LR sweep at 128K, d8, seq1024, about 1.07B tokens, seed 42."
results/topaware_128k_alpha125_lrsweep/summary.json,topaware_128k_alpha125_lrsweep,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=1.25",1.25,1,0.02,42,0.91885774757,complete,full_1b,1073741824,8,search_evals/v33_topaware_k1_128k_alpha125_20260501/top_aware_k1_a1p25_bsz131072_lr0p02_s42/result.json,"Top-Aware Muon alpha=1.25 LR sweep at 128K, d8, seq1024, about 1.07B tokens, seed 42."
results/topaware_128k_alpha125_lrsweep/summary.json,topaware_128k_alpha125_lrsweep,same_driver_streaming_ddp,128K,131072,top_aware_muon,"top_k=1, alpha=1.25",1.25,1,0.04,42,0.926675485787,complete,full_1b,1073741824,8,search_evals/v33_topaware_k1_128k_alpha125_20260501/top_aware_k1_a1p25_bsz131072_lr0p04_s42/result.json,"Top-Aware Muon alpha=1.25 LR sweep at 128K, d8, seq1024, about 1.07B tokens, seed 42."
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,native_ddp_or_control,256K,262144,native_muon,native Muon,,,0.005,42,0.920104633872,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/native_muon_bsz262144_lr0p005_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,native_ddp_or_control,256K,262144,native_muon,native Muon,,,0.01,42,0.913945547248,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/native_muon_bsz262144_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,native_ddp_or_control,256K,262144,native_muon,native Muon,,,0.02,42,0.915794665194,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/native_muon_bsz262144_lr0p02_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,native_ddp_or_control,256K,262144,native_muon,native Muon,,,0.04,42,0.923093845663,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/native_muon_bsz262144_lr0p04_s42/result.json,
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,256K,262144,native_lite,native LITE,,,0.01,42,0.891713422337,complete,full_or_historical,,8,sweep_results_v13_256k_clean/lite_bsz262144_lr0.01_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,256K,262144,native_lite,native LITE,,,0.01,43,0.893173809753,complete,full_or_historical,,8,sweep_results_v13_256k_clean/lite_bsz262144_lr0.01_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,256K,262144,native_lite,native LITE,,,0.01,44,0.892014593411,complete,full_or_historical,,8,sweep_results_v13_256k_clean/lite_bsz262144_lr0.01_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,256K,262144,native_muon,native Muon,,,0.01,42,0.892326806703,complete,full_or_historical,,8,sweep_results_v13_256k_clean/muon_bsz262144_lr0.01_s42.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,256K,262144,native_muon,native Muon,,,0.01,43,0.892762288674,complete,full_or_historical,,8,sweep_results_v13_256k_clean/muon_bsz262144_lr0.01_s43.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,256K,262144,native_muon,native Muon,,,0.01,44,0.891630208762,complete,full_or_historical,,8,sweep_results_v13_256k_clean/muon_bsz262144_lr0.01_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_identity,alpha=1 identity,1,,0.005,42,0.921769456931,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_identity_bsz262144_lr0p005_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_identity,alpha=1 identity,1,,0.01,42,0.915118851343,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_identity_bsz262144_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_identity,alpha=1 identity,1,,0.02,42,0.917129617489,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_identity_bsz262144_lr0p02_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_identity,alpha=1 identity,1,,0.04,42,0.924084594806,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_identity_bsz262144_lr0p04_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_lite,LITE-like chi2 tail,,,0.005,42,0.917990349728,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_lite_bsz262144_lr0p005_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_lite,LITE-like chi2 tail,,,0.01,42,0.914020113599,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_lite_bsz262144_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_lite,LITE-like chi2 tail,,,0.02,42,0.916855458332,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_lite_bsz262144_lr0p02_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,streaming_lite,LITE-like chi2 tail,,,0.04,42,0.926050513035,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_lite_bsz262144_lr0p04_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,top_aware_muon,"top_k=1, alpha=0.25",0.25,1,0.005,42,0.924948225133,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p25_bsz262144_lr0p005_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,top_aware_muon,"top_k=1, alpha=0.25",0.25,1,0.01,42,0.921652084353,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p25_bsz262144_lr0p01_s42/result.json,
figures/topaware_alpha_dashboard/raw_rows.csv,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,256K,262144,top_aware_muon,"top_k=1, alpha=0.25",0.25,1,0.02,42,0.920442349825,complete,full_or_historical,,8,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p25_bsz262144_lr0p02_s42/result.json,
