time,method,batch,lr,seed,top_k,alpha,score,error,result_json,log_file
2026-05-13 00:05:58 UTC,soap,262144,0.00025,42,,,1.7422960446718312,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p00025_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p00025_s42.log
2026-05-13 00:07:28 UTC,soap,262144,0.0005,42,,,1.7431501868025987,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p0005_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p0005_s42.log
2026-05-13 00:08:54 UTC,soap,262144,0.001,42,,,1.7417250708009073,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p001_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p001_s42.log
2026-05-13 00:10:22 UTC,soap,262144,0.002,42,,,1.7322502376397744,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p002_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p002_s42.log
2026-05-13 00:11:49 UTC,soap,262144,0.004,42,,,1.7264181887916894,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p004_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p004_s42.log
2026-05-13 00:13:17 UTC,soap,262144,0.008,42,,,2.062540652233114,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p008_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p008_s42.log
2026-05-13 00:14:46 UTC,soap,262144,0.015,42,,,2.2647610479093565,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p015_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p015_s42.log
2026-05-13 00:16:16 UTC,soap,262144,0.03,42,,,2.2458929699853973,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p03_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p03_s42.log
2026-05-13 00:17:43 UTC,soap,262144,0.06,42,,,2.352914776228745,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p06_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/soap_bsz262144_lr0p06_s42.log
2026-05-13 00:19:08 UTC,shampoo,262144,0.000125,42,,,1.7415474022816808,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/shampoo_bsz262144_lr0p000125_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/shampoo_bsz262144_lr0p000125_s42.log
2026-05-13 00:20:34 UTC,shampoo,262144,0.00025,42,,,1.746886442726496,,/outputs/search_evals/modal_d8_structured_tune_lrmin_20260512_194654/shampoo_bsz262144_lr0p00025_s42/result.json,/outputs/logs/modal_d8_structured_tune_lrmin_20260512_194654/shampoo_bsz262144_lr0p00025_s42.log
