depth,batch,batch_label,alpha,lr,step,progress,loss,score,result_json
d12,524288,512K,0.5,0.0075,2600,0.4012345679012346,3.0134637305353023,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2650,0.4089506172839506,3.0090598034065454,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2700,0.4166666666666667,3.006772696318341,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2750,0.4243827160493827,3.0012507189508066,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2800,0.43209876543209874,2.992943231807785,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2850,0.4398148148148148,2.997593263609809,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2900,0.44753086419753085,2.9881166224275857,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,2950,0.45524691358024694,2.98625499283491,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3000,0.46296296296296297,2.9808320623268862,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3050,0.470679012345679,2.9705624751230904,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3100,0.4783950617283951,2.9714945595950644,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3150,0.4861111111111111,2.9629869882520286,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3200,0.49382716049382713,2.9615073347488066,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3250,0.5015432098765432,2.9598656777291605,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3300,0.5092592592592593,2.947423151149082,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3350,0.5169753086419753,2.9476329438175957,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3400,0.5246913580246914,2.932686608983414,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3450,0.5324074074074074,2.9296576182700145,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3500,0.5401234567901234,2.926635135818905,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3550,0.5478395061728395,2.9302327920552056,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3600,0.5555555555555556,2.9220995158779672,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3650,0.5632716049382716,2.9188497204918913,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3700,0.5709876543209876,2.9200772196331,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3750,0.5787037037037037,2.9109237299789528,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3800,0.5864197530864198,2.898402707274978,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3850,0.5941358024691358,2.901853343715409,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3900,0.6018518518518519,2.893360795288958,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,3950,0.6095679012345679,2.88916093097607,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4000,0.6172839506172839,2.885976115633477,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4050,0.625,2.884483390400948,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4100,0.6327160493827161,2.8770577653160094,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4150,0.6404320987654321,2.8691663428677927,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4200,0.6481481481481481,2.867331744352991,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4250,0.6558641975308642,2.8634872972785543,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4300,0.6635802469135802,2.8660022991577128,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4350,0.6712962962962963,2.860411459935049,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4400,0.6790123456790124,2.849020175300202,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4450,0.6867283950617284,2.854592301970518,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4500,0.6944444444444444,2.848068780351707,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4550,0.7021604938271605,2.8419243390375706,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4600,0.7098765432098766,2.82918624082716,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4650,0.7175925925925926,2.831037482869809,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4700,0.7253086419753086,2.8266275348132215,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,0.5,0.0075,4750,0.7330246913580247,2.820747136130266,0.8160663614002971,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
