depth,batch_label,batch,alpha,top_k,lr,seed,score,val_bpb_best,val_bpb_final,train_loss_final,steps_completed,tokens,chinchilla_mult,sweep,result_json
12,512K,524288,1.15,1,0.03,42,0.8286130774621677,0.8286130774621677,0.8286130774621677,2.7395736457714914,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz524288_lr0p03_s42/result.json
12,512K,524288,1.15,1,0.04,42,0.8325830124131881,0.8325830124131881,0.8325830124131881,2.7536247093222994,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a1p15_bsz524288_lr0p04_s42/result.json
12,2M,2097152,0.25,1,0.005,42,0.837643087197717,0.837643087197717,0.837643087197717,2.7732870744678118,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz2097152_lr0p005_s42/result.json
12,2M,2097152,0.25,1,0.0075,42,0.8414570187548162,0.8414570187548162,0.8414570187548162,2.7857362801739236,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz2097152_lr0p0075_s42/result.json
12,2M,2097152,0.25,1,0.01,42,0.8384851287401034,0.8384851287401034,0.8384851287401034,2.776609292240647,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz2097152_lr0p01_s42/result.json
12,2M,2097152,0.25,1,0.015,42,0.8479009081315915,0.8479009081315915,0.8479009081315915,2.8065261002800588,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz2097152_lr0p015_s42/result.json
12,2M,2097152,0.25,1,0.02,42,0.848138717299659,0.848138717299659,0.848138717299659,2.807210130033568,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz2097152_lr0p02_s42/result.json
12,2M,2097152,0.25,1,0.03,42,0.8410104563225188,0.8410104563225188,0.8410104563225188,2.784886018458784,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz2097152_lr0p03_s42/result.json
12,2M,2097152,0.25,1,0.04,42,0.8549465662898416,0.8549465662898416,0.8549465662898416,2.8310756389547196,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz2097152_lr0p04_s42/result.json
12,2M,2097152,0.5,1,0.005,42,0.8441119747959984,0.8441119747959984,0.8441119747959984,2.794326715635986,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz2097152_lr0p005_s42/result.json
12,2M,2097152,0.5,1,0.0075,42,0.8369087191543398,0.8369087191543398,0.8369087191543398,2.7708285071308696,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz2097152_lr0p0075_s42/result.json
12,2M,2097152,0.5,1,0.01,42,0.8459360479212058,0.8459360479212058,0.8459360479212058,2.7987063969005193,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz2097152_lr0p01_s42/result.json
12,2M,2097152,0.5,1,0.015,42,0.8455962170259479,0.8455962170259479,0.8455962170259479,2.7988769741421855,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz2097152_lr0p015_s42/result.json
12,2M,2097152,0.5,1,0.02,42,0.8339969697884679,0.8339969697884679,0.8339969697884679,2.7623112170472646,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz2097152_lr0p02_s42/result.json
12,2M,2097152,0.5,1,0.03,42,0.8465430337228211,0.8465430337228211,0.8465430337228211,2.8020698394969017,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz2097152_lr0p03_s42/result.json
12,2M,2097152,0.5,1,0.04,42,0.8551341616390575,0.8551341616390575,0.8551341616390575,2.832067469394544,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz2097152_lr0p04_s42/result.json
12,2M,2097152,0.75,1,0.005,42,0.837713951721291,0.837713951721291,0.837713951721291,2.7729238948917354,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz2097152_lr0p005_s42/result.json
12,2M,2097152,0.75,1,0.0075,42,0.846076617630545,0.846076617630545,0.846076617630545,2.7996241988035537,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz2097152_lr0p0075_s42/result.json
12,2M,2097152,0.75,1,0.01,42,0.843960318918861,0.843960318918861,0.843960318918861,2.794099480938324,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz2097152_lr0p01_s42/result.json
12,2M,2097152,0.75,1,0.015,42,0.8349668283242947,0.8349668283242947,0.8349668283242947,2.767270199808377,1620,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p75_bsz2097152_lr0p015_s42/result.json
