depth,optimizer,batch_size,batch_label,lr,seed,score_best_val_bpb,final_val_bpb,train_loss_final,steps_completed,max_steps,eval_time_seconds,error,precondition_frequency,architecture,path
16,soap,2097152,2M,0.005,42,2.232880417500155,2.232880417500155,7.2960091385031856,3840.0,3840,5535.285102844238,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz2097152_lr0p005_s42/result.json
16,soap,2097152,2M,0.0075,42,2.28814329742704,2.28814329742704,7.477489184921134,3840.0,3840,5532.389531612396,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz2097152_lr0p0075_s42/result.json
16,soap,2097152,2M,0.01,42,2.238220327448327,2.270137766832964,7.413161522311219,3840.0,3840,5498.967638731003,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz2097152_lr0p01_s42/result.json
16,soap,2097152,2M,0.015,42,2.263634316476252,2.2659800916155013,7.410607750557361,3840.0,3840,5522.102853536606,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz2097152_lr0p015_s42/result.json
16,soap,2097152,2M,0.02,42,2.2212392167257127,2.31212072199241,7.567605995346048,3840.0,3840,5491.320469379425,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz2097152_lr0p02_s42/result.json
16,soap,2097152,2M,0.03,42,2.3079300056473913,2.3079300056473913,7.544738067427318,3840.0,3840,5503.297805547714,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz2097152_lr0p03_s42/result.json
16,soap,2097152,2M,0.04,42,2.302306057936019,2.45108851631394,8.020890500759668,3840.0,3840,5507.695287227631,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz2097152_lr0p04_s42/result.json
16,soap,8388608,8M,0.005,42,2.234070912512754,2.234070912512754,7.295728725150768,960.0,960,3194.946277856827,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz8388608_lr0p005_s42/result.json
16,soap,8388608,8M,0.0075,42,2.2845744208993146,2.2845744208993146,7.47149751902371,960.0,960,3183.410174369812,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz8388608_lr0p0075_s42/result.json
16,soap,8388608,8M,0.01,42,2.323075739701161,2.323075739701161,7.588152019919724,960.0,960,3162.6590447425842,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz8388608_lr0p01_s42/result.json
16,soap,8388608,8M,0.015,42,2.3261860981254343,2.3261860981254343,7.59943606724648,960.0,960,3181.2708790302277,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz8388608_lr0p015_s42/result.json
16,soap,8388608,8M,0.02,42,2.308485328457894,2.308485328457894,7.544107421828118,960.0,960,3184.319145679474,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz8388608_lr0p02_s42/result.json
16,soap,8388608,8M,0.03,42,3.2405277141278255,,,960.0,960,3100.41011428833,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz8388608_lr0p03_s42/result.json
16,soap,8388608,8M,0.04,42,3.2405277141278255,,,960.0,960,3092.4276609420776,,5,gpt2,results/d12-d16-base-opt-sweep/extracted/search_evals/d16_opt_baselines_001/soap_bsz8388608_lr0p04_s42/result.json
